names,owner,private,fork,archived,created_at,fork_count,open_issues,stargazers_count,watchers_count,stars_url,contributors_url,commits_url,downloaded_at
pwalk,irods,FALSE,TRUE,FALSE,2018-01-10T20:36:09Z,0,0,0,0,https://api.github.com/repos/irods/pwalk/stargazers,https://api.github.com/repos/irods/pwalk/contributors,https://api.github.com/repos/irods/pwalk/commits,"05 June, 2023"
irods_testing_ci_jobs,irods,FALSE,FALSE,FALSE,2018-01-12T16:02:45Z,1,0,0,0,https://api.github.com/repos/irods/irods_testing_ci_jobs/stargazers,https://api.github.com/repos/irods/irods_testing_ci_jobs/contributors,https://api.github.com/repos/irods/irods_testing_ci_jobs/commits,"05 June, 2023"
mungefs,irods,FALSE,FALSE,FALSE,2018-01-30T17:08:27Z,3,8,5,5,https://api.github.com/repos/irods/mungefs/stargazers,https://api.github.com/repos/irods/mungefs/contributors,https://api.github.com/repos/irods/mungefs/commits,"05 June, 2023"
irods_capability_automated_ingest,irods,FALSE,FALSE,FALSE,2018-02-09T20:45:28Z,13,60,12,12,https://api.github.com/repos/irods/irods_capability_automated_ingest/stargazers,https://api.github.com/repos/irods/irods_capability_automated_ingest/contributors,https://api.github.com/repos/irods/irods_capability_automated_ingest/commits,"05 June, 2023"
redis,irods,FALSE,TRUE,FALSE,2018-02-19T15:01:49Z,0,0,0,0,https://api.github.com/repos/irods/redis/stargazers,https://api.github.com/repos/irods/redis/contributors,https://api.github.com/repos/irods/redis/commits,"05 June, 2023"
rq-scheduler,irods,FALSE,TRUE,FALSE,2018-04-02T17:42:31Z,0,0,0,0,https://api.github.com/repos/irods/rq-scheduler/stargazers,https://api.github.com/repos/irods/rq-scheduler/contributors,https://api.github.com/repos/irods/rq-scheduler/commits,"05 June, 2023"
rq,irods,FALSE,TRUE,FALSE,2018-04-02T17:42:50Z,0,0,0,0,https://api.github.com/repos/irods/rq/stargazers,https://api.github.com/repos/irods/rq/contributors,https://api.github.com/repos/irods/rq/commits,"05 June, 2023"
irods_clang_format_configuration,irods,FALSE,FALSE,FALSE,2018-05-01T16:27:11Z,1,0,0,0,https://api.github.com/repos/irods/irods_clang_format_configuration/stargazers,https://api.github.com/repos/irods/irods_clang_format_configuration/contributors,https://api.github.com/repos/irods/irods_clang_format_configuration/commits,"05 June, 2023"
irods_policy_examples,irods,FALSE,FALSE,FALSE,2018-06-21T03:22:55Z,4,0,0,0,https://api.github.com/repos/irods/irods_policy_examples/stargazers,https://api.github.com/repos/irods/irods_policy_examples/contributors,https://api.github.com/repos/irods/irods_policy_examples/commits,"05 June, 2023"
spdlog,irods,FALSE,TRUE,FALSE,2018-06-26T15:41:06Z,0,0,0,0,https://api.github.com/repos/irods/spdlog/stargazers,https://api.github.com/repos/irods/spdlog/contributors,https://api.github.com/repos/irods/spdlog/commits,"05 June, 2023"
